## Updated Dec 17th,,,,,,
kit,library,expected_reads,passing_filter_reads,percent_passing_filter_cluster,reads_in_fastqs,reads_in_cells_and_mapped
Flex,all,,,,902233029,835482894
NextGEM3P,all,,,,3190622359,2195704959
GEMX3P,all,,,,5280349848,3212297758
Fluent_v4,all,1800000000,2070000000,87.58,1875957722,696318401
Fluent_V,all,1800000000,2000000000,85.67,1999507092,1173728937
Parse_v2,1,1800000000,2010000000,85.08,,
Parse_v2,2,400000000,517000000,77.68,,
Parse_v2,all,2200000000,2530000000,83.56,,
Parse_v3,1,1200000000,1440000000,85.19,,
Parse_v3,2,1200000000,1440000000,85.07,,
Parse_v3,3,400000000,578000000,86.85,,
Parse_v3,all,2800000000,3460000000,85.37,3040802776,1025803576
Scale,1,1200000000,1080000000,66.38,,
Scale,2,6670000000,3190000000,55.4,,
Scale,all,7870000000,4270000000,58.18,3642110422,2127674927